confirmed, block.height, block.time, tx.type, tx.sender, tx.receiver,tx.amount, tx.start_time, tx.originator
1, 1305, 79077169.00, PREPARE_HTLC,  30082,  30079, 2018658, 79033890.66,  30082
1, 1306, 79092772.00, CLAIM_HTLC  ,  30082,  30079, 2018658, 79077747.38,  30079
1, 1306, 79092772.00, CLAIM_HTLC  ,  30079,  30078, 2048131, 79077761.42,  30078
1, 1315, 79493002.00, PREPARE_HTLC,      0,  30078, 2038394, 79492955.78,      0
1, 1316, 79504636.00, CLAIM_HTLC  ,      0,  30078, 2038394, 79493566.04,  30078
1, 1327, 80277705.00, PREPARE_HTLC,      0,      1, 2014472, 80167569.49,      0
1, 1328, 80382866.00, CLAIM_HTLC  ,      0,      1, 2014472, 80278271.35,      1
1, 1328, 80382866.00, PREPARE_HTLC,   4272,      0, 2040264, 80297068.20,   4272
1, 1329, 80407787.00, CLAIM_HTLC  ,   4272,      0, 2040264, 80383480.13,      0
1, 1367, 82822948.00, PREPARE_HTLC,  30083,      0, 2091444, 82776894.74,  30083
1, 1368, 82843034.00, CLAIM_HTLC  ,  30083,      0, 2091444, 82823546.33,      0
1, 1382, 83600835.00, PREPARE_HTLC,  30080,      0, 2013629, 83556567.18,  30080
1, 1383, 83606566.00, CLAIM_HTLC  ,  30080,      0, 2013629, 83601406.74,      0
1, 1398, 84353980.00, PREPARE_HTLC,      0,  30078, 2029719, 84338692.85,      0
1, 1399, 84394440.00, CLAIM_HTLC  ,      0,  30078, 2029719, 84354556.53,  30078
1, 1421, 85140214.00, PREPARE_HTLC,   4273,   4271, 2005509, 85127497.89,   4273
1, 1422, 85146507.00, CLAIM_HTLC  ,   4273,   4271, 2005509, 85140836.78,   4271
1, 1428, 85556991.00, PREPARE_HTLC,  30079,  30078, 2088420, 85491608.41,  30079
1, 1429, 85644098.00, CLAIM_HTLC  ,  30079,  30078, 2088420, 85557581.42,  30078
1, 1435, 85823967.00, PREPARE_HTLC,  30085,      1, 2056277, 85821853.34,  30085
1, 1436, 85842832.00, CLAIM_HTLC  ,  30085,      1, 2056277, 85824555.83,      1
